Nama Produk,Harga Produk,Kota Toko,Penjual,Banyaknya Terjual,Rating
SEBLAK INSTANT TERMURAH,Rp4.450,Jakarta Timur,Pusat Cuankie & Cemilan Frozen,10rb+,4.8
Seblak Instan Pedas Home Made,Rp3.500,Tangerang Selatan,the Dhecip,3rb+,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Depok,Brother Meat Shop,500+,5.0
seblak instant sajodo snak,Rp20.000,Jakarta Barat,hikmah berkah jaya,1rb+,4.8
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.900,Kab. Bogor,Anggris store,80+,4.8
seblak kering rafael pedas daun jeruk / kerupuk seblak mawar 250 gram,Rp12.375,Bandung,cemilan ti lembur,40+,5.0
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,Rp29.000,Kab. Bandung Barat,fahirastores,100+,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,Tangerang Selatan,aghniya,500+,4.8
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp11.000,Jakarta Barat,global cookware1,750+,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Depok,Brother Meat Shop,500+,5.0
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,Depok,DUO BOCIL SNACK,250+,4.9
Krupuk seblak mawar rafael pedas 250gram,Rp12.500,Kab. Bekasi,Markas Makaroni,100+,4.8
Krupuk seblak mawar rafael pedas 500gr,Rp23.500,Kab. Bekasi,Markas Makaroni,100+,4.9
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,Jakarta Barat,KRIUK JAYA,70+,5.0
SEBLAK INSTANT TERMURAH,Rp4.450,Jakarta Timur,Pusat Cuankie & Cemilan Frozen,10rb+,4.8
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp19.000,Kab. Garut,Lidigeli,500+,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Depok,Brother Meat Shop,500+,5.0
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Kab. Garut,Baso Aci Ayang,3rb+,4.9
Seblak Instan Pedas Home Made,Rp3.500,Tangerang Selatan,the Dhecip,3rb+,4.9
Seblak pedas kerupuk pedas kiloan 1 kg,Rp34.000,Kab. Bogor,RIKI STORE 97,100+,4.7
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,Depok,DUO BOCIL SNACK,250+,4.9
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,Rp23.000,Jakarta Utara,ajs(ale jaya snack),40+,4.9
Seblak Instan Pedas Home Made,Rp3.500,Tangerang Selatan,the Dhecip,3rb+,4.9
Krupuk seblak mawar rafael pedas 500gr,Rp23.500,Kab. Bekasi,Markas Makaroni,100+,4.9
